doc_id,title,category,content,source
D001,Python List Comprehension,Python,"A list comprehension provides a concise way to create lists. Common applications are to make new lists where each element is the result of some operations applied to each member of another sequence or iterable. For example, you can create a list of squares using a for loop or a list comprehension. The syntax is [expression for item in iterable if condition]. This approach is faster and more readable than equivalent for loop constructions.",https://docs.python.org/3/tutorial/datastructures.html
D002,Python Dictionary Basics,Python,"Dictionaries are Python's built-in mapping type. A dictionary maps keys to values and these key-value pairs are stored without any particular order. Keys must be immutable objects such as strings or numbers. You can create a dictionary using curly braces with colon-separated key-value pairs. The dict() constructor can also be used. Common operations include accessing values by key, adding new key-value pairs, and deleting entries using the del statement.",https://docs.python.org/3/tutorial/datastructures.html
D003,Python Functions and Arguments,Python,"Functions in Python are defined using the def keyword followed by a function name and parentheses. You can pass information into functions as arguments. Python supports default argument values, keyword arguments, and arbitrary argument lists using *args and **kwargs. Functions can return values using the return statement. If no return statement is used, the function returns None by default. Functions are first-class objects in Python and can be assigned to variables.",https://docs.python.org/3/tutorial/controlflow.html
D004,Python Classes and Objects,Python,"Python is an object-oriented programming language. Classes provide a means of bundling data and functionality together. Creating a new class creates a new type of object, allowing new instances of that type to be made. Each class instance can have attributes attached to it for maintaining its state. Class instances can also have methods for modifying their state. The __init__ method is called when an object is instantiated and allows the class to initialize the object's attributes.",https://docs.python.org/3/tutorial/classes.html
D005,Python Exception Handling,Python,"Errors detected during execution are called exceptions. Python uses try and except blocks to handle exceptions gracefully. The try block contains code that might raise an exception. The except block contains code that runs if an exception occurs. You can specify which type of exception to catch, or use a bare except to catch all exceptions. The finally block always executes regardless of whether an exception occurred. The else block runs only if no exception was raised in the try block.",https://docs.python.org/3/tutorial/errors.html
D006,Python Iterators and Generators,Python,"Iterators are objects that implement the iterator protocol consisting of __iter__ and __next__ methods. Generators are a simple way to create iterators using functions with yield statements. When a generator function is called it returns a generator object without executing the function body. Each call to next() on the generator resumes execution until the next yield statement. Generators are memory efficient because they produce values one at a time rather than storing all values in memory at once.",https://docs.python.org/3/tutorial/classes.html
D007,Python String Methods,Python,"Python strings are immutable sequences of Unicode characters. They support a wide range of built-in methods for text processing. The split() method divides a string into a list of substrings based on a delimiter. The join() method concatenates a list of strings with a separator. The strip() method removes leading and trailing whitespace. The replace() method substitutes occurrences of a substring. The format() method and f-strings allow embedding expressions inside string literals for flexible string formatting.",https://docs.python.org/3/library/stdtypes.html
D008,Python File I/O Operations,Python,"Python provides built-in functions for reading and writing files. The open() function returns a file object and takes a filename and mode as arguments. Common modes include r for reading, w for writing, and a for appending. It is good practice to use the with statement when handling files, which automatically closes the file after the block exits. The read() method reads the entire file, readline() reads one line, and readlines() returns a list of all lines in the file.",https://docs.python.org/3/tutorial/inputoutput.html
D009,Python Lambda Functions,Python,"Lambda functions are small anonymous functions defined with the lambda keyword. They can take any number of arguments but can only have one expression. Lambda functions are syntactically restricted to a single expression and are useful when you need a simple function for a short period of time. They are commonly used with built-in functions like map(), filter(), and sorted(). The expression is evaluated and returned when the lambda function is called. They are equivalent to regular functions defined with def.",https://docs.python.org/3/tutorial/controlflow.html
D010,Python Decorators,Python,"Decorators are a powerful feature in Python that allows you to modify or enhance functions or classes without changing their source code. A decorator is a function that takes another function as an argument and returns a modified version of that function. The @ symbol is used as syntactic sugar to apply decorators. Common use cases include logging, timing, authentication, and caching. The functools.wraps decorator is used to preserve the original function's metadata when creating decorators.",https://docs.python.org/3/glossary.html
